"","Set","e_est","lowerCI","upperCI","rsquared","pval_e","WT_w","MA_w","MB_w","DM_w","AF_w","WT_w_lci","MA_w_lci","MB_w_lci","DM_w_lci","AF_w_lci","WT_w_uci","MA_w_uci","MB_w_uci","DM_w_uci","AF_w_uci","pval_int","pval_MA","pval_MB","pval_DM","Epistasis_Direction","mutant_name","trait","mutant_rank"
"1",38,-0.816029595078671,-0.978636607762791,-0.65342258239455,0.624073781102905,1.27050988280612e-18,1,0.990376526614008,0.978654012204827,0.58981692241589,0.969030538818834,0.963786564150427,0.954163090764435,0.940830312044053,0.549116534169489,0.905363764392023,1.03621343584957,1.02658996246358,1.0164777123656,0.630517310662291,1.03269731324564,2.72218216926922e-111,0.71118252465167,0.42217180693185,1.27050988280612e-18,"Negative","rglg1/2","total_seed_count",1
"2",719,-0.471816167317084,-0.724108852499644,-0.219523482134524,0.140054326115286,0.000296774440288327,1,1.04950128048476,1.29084775056653,1.04118066201331,1.34034903105129,0.920051193612192,0.969552474096951,1.21258226546795,0.959435028884129,1.20283863346847,1.07994880638781,1.12945008687257,1.36911323566512,1.1229262951425,1.47785942863412,1.14512943242614e-59,0.388788331424481,7.46288582536771e-07,0.000296774440288327,"Negative","rsh3/2","total_seed_count",2
"3",14,-0.290188054393053,-0.468952558179528,-0.111423550606579,0.252981290337895,0.00157284209730911,1,0.975304822436538,0.96325649050437,0.78145104453361,0.938561312940908,0.935605237853573,0.912040886632745,0.905712449175408,0.717744768814315,0.850149307786763,1.06439476214643,1.03856875824033,1.02080053183333,0.845157320252904,1.02697331809505,2.89556344006116e-84,0.475352280684964,0.290796423956761,0.00157284209730911,"Negative","man5/2","total_seed_count",3
"4",806,-0.288778940226127,-0.50065861621716,-0.076899264235093,0.0446050796765923,0.00783425229837819,1,1.15651114180279,1.16576580378959,1.11364999580243,1.32227694559239,0.923063498464619,1.07870527367246,1.08967016358387,1.03836823611135,1.18899707148404,1.07693650153538,1.23431700993313,1.24186144399532,1.1889317554935,1.45555681970074,1.10488470182229e-61,0.00530523093166938,0.00287283411804667,0.00783425229837819,"Negative","wri4/3","total_seed_count",4
"5",70,-0.253729970207822,-0.460092021838097,-0.0473679185775463,0.12125593718664,0.0162739924073112,1,0.957166980592144,1.01016054583364,0.849766052640132,0.967327526425781,0.952278371781557,0.910542547962788,0.963536113204282,0.799595590688583,0.885933243851155,1.04772162821844,1.0037914132215,1.05678497846299,0.899936514591681,1.04872180900041,1.06152798541428e-88,0.206713672176919,0.764018750778393,0.0162739924073112,"Negative","xic/e","total_seed_count",5
"6",2,-0.250694792721083,-0.427841335741399,-0.0735482497007674,0.101364888865389,0.00576933726460158,1,0.971607799975189,1.07908597158725,0.88485327314939,1.05069377156244,0.928563212798084,0.894340157979629,1.00602860223061,0.801306185286439,0.939981824722221,1.07143678720192,1.04887544197075,1.1521433409439,0.96840036101234,1.16140571840266,2.63860936656124e-70,0.487729108905092,0.0471230630190435,0.00576933726460158,"Negative","hon5/4","total_seed_count",6
"7",25,-0.243362379209555,-0.454998799748522,-0.0317259586705877,0.0323312881445355,0.0244750323282552,1,1.04219121526066,1.12176223614589,1.01736065865537,1.16395345140655,0.933001755331765,0.980624077206564,1.06086798319229,0.952058847430919,1.05446652378698,1.06699824466824,1.10375835331475,1.18265648909949,1.08266246987982,1.27344037902613,1.23613707379653e-67,0.36125127562195,0.00869735380031779,0.0244750323282552,"Negative","can1/2","total_seed_count",7
"8",42,-0.237201130370062,-0.382760221639501,-0.0916420391006223,0.0507838636174707,0.00154194300660108,1,1.04375280288225,1.02534218948761,0.965585714133355,1.06909499236986,0.968761060651597,1.01184198152109,0.994103250139207,0.932957706115481,1.014596889805,1.0312389393484,1.07566362424342,1.05658112883601,0.998213722151228,1.12359309493473,1.00581107238929e-125,0.0547670191984727,0.259197980665141,0.00154194300660108,"Negative","herk1/AT5G59700","total_seed_count",8
"9",20,-0.225564095475234,-0.370681964566927,-0.080446226383542,0.113625913488979,0.00244919570380305,1,1.04346400411029,1.08111046535783,1.00084439399605,1.12457446946812,0.947456439192455,0.988772610735802,1.02670116992506,0.948909444479484,1.04541115515285,1.05254356080755,1.09815539748478,1.1355197607906,1.05277934351262,1.20373778378339,1.52050324588125e-102,0.133739664291997,0.00481810924293091,0.00244919570380305,"Negative","AT3G14960/AT1G53290","total_seed_count",9
"10",750,-0.219251289319936,-0.562105799706191,0.12360322106632,-0.00279774569078484,0.208017429362656,1,1.01894824809799,1.06780924173787,0.942472328039546,1.08675748983586,0.884768164045177,0.901811624655799,0.956123853455201,0.835541709757423,0.888079382021215,1.11523183595482,1.13608487154017,1.17949463002055,1.04940294632167,1.2854355976505,8.3978565914678e-35,0.819854166247944,0.404611840528869,0.208017429362656,"Not Detected","AT1G55890/AT3G13160","total_seed_count",10
"11",740,-0.214425198310713,-0.4639185464149,0.0350681497934743,0.116490506095753,0.0916195434377804,1,1.05882457933449,1.23593115761524,1.17115478588318,1.29475573694973,0.929513459030415,0.985057859992945,1.16466573619465,1.09908407990297,1.17030236563932,1.07048654096958,1.13259129867604,1.30719657903582,1.2432254918634,1.41920910826013,3.65190504733643e-66,0.256704382703608,6.68438629172748e-06,0.0916195434377804,"Not Detected","AT1G21060/AT1G76620","total_seed_count",11
